source,target,value
software,mindnode-pro,2
software,mbox,2
software,mamba,2
software,lisp,2
software,kindle-fire,2
software,istat-menus,2
software,internet-explorer,2
software,illustrator,2
software,happy-hacking-keyboard,2
software,google-voice,2
software,google-talk,2
software,google-maps,2
software,goodreader-ios,2
software,gnome-terminal,2
software,gentoo,2
software,galaxy-nexus,2
software,flipboard-ios,2
software,fieldrunners-ios,2
software,field-notes,2
software,fedora,2
software,extended-keyboard-ii,2
software,evernote-mac,2
software,ego-ios,2
software,echofon-ios,2
software,drobo,2
software,delicious-library,2
software,d90,2
software,creative-suite,2
software,cr-48,2
software,connectbot-android,2
software,cintiq,2
software,boot-camp,2
software,bamboo,2
software,at2020,2
software,arduino,2
software,app-engine,2
software,airport-express,2
software,af-nikkor-50mm-f1.4d,2
software,aeron,2
software,3007wfp,2
software,2big-quadra,2
scientist,word,2
scientist,u3011,2
scientist,mail,2
scientist,mac-os-x,2
scientist,iterm2,2
researcher,office,2
researcher,mail,2
researcher,magic-mouse,2
researcher,mac-mini,2
researcher,lightroom,2
researcher,iphone-3g,2
researcher,instagram-ios,2
researcher,ical,2
researcher,creative-suite,2
researcher,cinema-display,2
researcher,c-plusplus,2
professor,red-hat-enterprise-desktop,2
professor,magic-trackpad,2
professor,mac-mini,2
professor,keynote,2
professor,keyboard,2
professor,ipad-2,2
professor,google-calendar,2
professor,cinema-display,2
podcaster,final-cut-pro,2
podcaster,cinema-display,2
photographer,scansnap-s1500m,2
photographer,omnifocus-ios,2
photographer,mail,2
photographer,little-big-disk,2
photographer,lc-a-plus,2
photographer,lc-a,2
photographer,foursquare-ios,2
photographer,flipboard-ios,2
photographer,evernote-ios,2
photographer,d3,2
photographer,creative-suite,2
photographer,after-effects,2
musician,windows-xp,2
musician,wii,2
musician,visual-studio,2
musician,valve-junior,2
musician,pro-tools-le,2
musician,mp-2nv,2
musician,mail,2
musician,magic-mouse,2
musician,macbook-air,2
musician,logic-studio,2
musician,kontakt,2
musician,keyboard,2
musician,iphone-4,2
musician,ipad-2,2
musician,instagram-ios,2
musician,final-cut-pro,2
musician,dm1-ios,2
musician,c-plusplus,2
mac,z-5500,2
mac,yashica-t4,2
mac,writing-kit-ios,2
mac,writeboard,2
mac,wordpress-ios,2
mac,wolfram-alpha,2
